,filename,birds,start_sec,end_sec,file_path,duration
61,21767_COR_20190904.ogg,rucwar,30.0,35.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
62,21767_COR_20190904.ogg,grekis rucwar,35.0,40.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
63,21767_COR_20190904.ogg,rucwar,40.0,45.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
64,21767_COR_20190904.ogg,nocall,45.0,50.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
65,21767_COR_20190904.ogg,grekis,50.0,55.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
66,21767_COR_20190904.ogg,grekis rucwar,55.0,65.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
67,21767_COR_20190904.ogg,rucwar,65.0,70.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
68,21767_COR_20190904.ogg,grekis,70.0,75.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
69,21767_COR_20190904.ogg,rucwar,75.0,85.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
70,21767_COR_20190904.ogg,grekis runwre1,85.0,90.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
71,21767_COR_20190904.ogg,rucwar,90.0,95.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
72,21767_COR_20190904.ogg,clcrob rucwar,95.0,105.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
73,21767_COR_20190904.ogg,rucwar,105.0,115.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
74,21767_COR_20190904.ogg,clcrob,115.0,125.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
75,21767_COR_20190904.ogg,rucwar,125.0,130.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
76,21767_COR_20190904.ogg,runwre1,130.0,135.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
77,21767_COR_20190904.ogg,runwre1 yehcar1,135.0,140.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
78,21767_COR_20190904.ogg,rucwar runwre1 yehcar1,140.0,145.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
79,21767_COR_20190904.ogg,rucwar,145.0,205.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
80,21767_COR_20190904.ogg,nocall,205.0,210.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
81,21767_COR_20190904.ogg,rucwar,210.0,240.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
82,21767_COR_20190904.ogg,melbla1,240.0,250.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
83,21767_COR_20190904.ogg,nocall,250.0,265.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
84,21767_COR_20190904.ogg,crfpar,265.0,275.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
85,21767_COR_20190904.ogg,crfpar rucwar,275.0,280.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
86,21767_COR_20190904.ogg,crfpar,280.0,290.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
87,21767_COR_20190904.ogg,nocall,290.0,300.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
88,21767_COR_20190904.ogg,crfpar,300.0,310.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
89,21767_COR_20190904.ogg,nocall,310.0,340.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
90,21767_COR_20190904.ogg,runwre1,340.0,355.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
91,21767_COR_20190904.ogg,crfpar,355.0,375.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
92,21767_COR_20190904.ogg,rucwar,375.0,385.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
93,21767_COR_20190904.ogg,nocall,385.0,405.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
94,21767_COR_20190904.ogg,rucwar,405.0,420.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
95,21767_COR_20190904.ogg,nocall,420.0,430.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
96,21767_COR_20190904.ogg,rucwar runwre1,430.0,440.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
97,21767_COR_20190904.ogg,rucwar,440.0,445.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
98,21767_COR_20190904.ogg,nocall,445.0,450.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
99,21767_COR_20190904.ogg,rucwar,450.0,465.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
100,21767_COR_20190904.ogg,hofwoo1 rucwar,465.0,475.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
101,21767_COR_20190904.ogg,nocall,475.0,480.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
102,21767_COR_20190904.ogg,rucwar,480.0,490.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
103,21767_COR_20190904.ogg,rucwar whcpar,490.0,495.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
104,21767_COR_20190904.ogg,whcpar,495.0,510.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
105,21767_COR_20190904.ogg,hofwoo1 whcpar,510.0,515.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
106,21767_COR_20190904.ogg,whcpar,515.0,520.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
107,21767_COR_20190904.ogg,hofwoo1,520.0,525.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
108,21767_COR_20190904.ogg,crfpar,525.0,535.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
109,21767_COR_20190904.ogg,crfpar runwre1,535.0,550.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
110,21767_COR_20190904.ogg,rucwar runwre1,550.0,560.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
111,21767_COR_20190904.ogg,rucwar,560.0,565.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
112,21767_COR_20190904.ogg,crfpar rucwar,565.0,570.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
113,21767_COR_20190904.ogg,rucwar,570.0,590.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
114,21767_COR_20190904.ogg,crfpar,590.0,595.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
115,21767_COR_20190904.ogg,nocall,595.0,600.0,/app/_data/birdclef-2021/train_soundscapes/21767_COR_20190904.ogg,600.0
116,26746_COR_20191004.ogg,bobfly1,0.0,15.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
117,26746_COR_20191004.ogg,nocall,15.0,25.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
118,26746_COR_20191004.ogg,bobfly1,25.0,35.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
119,26746_COR_20191004.ogg,bobfly1 rucwar,35.0,40.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
120,26746_COR_20191004.ogg,rucwar,40.0,50.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
121,26746_COR_20191004.ogg,bobfly1 rucwar,50.0,55.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
122,26746_COR_20191004.ogg,bobfly1,55.0,65.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
123,26746_COR_20191004.ogg,bobfly1 rucwar,65.0,70.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
124,26746_COR_20191004.ogg,rucwar,70.0,80.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
125,26746_COR_20191004.ogg,nocall,80.0,85.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
126,26746_COR_20191004.ogg,rucwar,85.0,90.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
127,26746_COR_20191004.ogg,nocall,90.0,100.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
128,26746_COR_20191004.ogg,rucwar,100.0,105.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
129,26746_COR_20191004.ogg,bobfly1,105.0,110.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
130,26746_COR_20191004.ogg,bobfly1 rucwar,110.0,115.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
131,26746_COR_20191004.ogg,bobfly1,115.0,140.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
132,26746_COR_20191004.ogg,rucwar,140.0,165.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
133,26746_COR_20191004.ogg,nocall,165.0,170.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
134,26746_COR_20191004.ogg,rucwar,170.0,210.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
135,26746_COR_20191004.ogg,nocall,210.0,220.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
136,26746_COR_20191004.ogg,hofwoo1,220.0,225.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
137,26746_COR_20191004.ogg,nocall,225.0,290.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
138,26746_COR_20191004.ogg,bobfly1,290.0,300.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
139,26746_COR_20191004.ogg,nocall,300.0,305.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
140,26746_COR_20191004.ogg,bobfly1,305.0,325.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
141,26746_COR_20191004.ogg,nocall,325.0,405.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
142,26746_COR_20191004.ogg,bobfly1,405.0,410.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
143,26746_COR_20191004.ogg,grhcha1,410.0,420.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
144,26746_COR_20191004.ogg,nocall,420.0,475.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
145,26746_COR_20191004.ogg,hofwoo1,475.0,485.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
146,26746_COR_20191004.ogg,nocall,485.0,550.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
147,26746_COR_20191004.ogg,brnjay,550.0,555.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
148,26746_COR_20191004.ogg,nocall,555.0,600.0,/app/_data/birdclef-2021/train_soundscapes/26746_COR_20191004.ogg,600.0
149,31928_COR_20191004.ogg,nocall,0.0,600.0,/app/_data/birdclef-2021/train_soundscapes/31928_COR_20191004.ogg,600.0
150,44957_COR_20190923.ogg,nocall,0.0,5.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
151,44957_COR_20190923.ogg,bobfly1,5.0,10.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
152,44957_COR_20190923.ogg,nocall,10.0,15.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
153,44957_COR_20190923.ogg,bobfly1,15.0,85.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
154,44957_COR_20190923.ogg,nocall,85.0,90.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
155,44957_COR_20190923.ogg,bobfly1,90.0,100.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
156,44957_COR_20190923.ogg,nocall,100.0,105.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
157,44957_COR_20190923.ogg,bobfly1,105.0,110.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
158,44957_COR_20190923.ogg,grekis,110.0,120.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
159,44957_COR_20190923.ogg,nocall,120.0,185.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
160,44957_COR_20190923.ogg,plawre1,185.0,195.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
161,44957_COR_20190923.ogg,bobfly1 plawre1,195.0,220.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
162,44957_COR_20190923.ogg,nocall,220.0,225.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
163,44957_COR_20190923.ogg,plawre1,225.0,230.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
164,44957_COR_20190923.ogg,bobfly1 plawre1,230.0,235.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
165,44957_COR_20190923.ogg,bobfly1,235.0,240.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
166,44957_COR_20190923.ogg,nocall,240.0,245.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
167,44957_COR_20190923.ogg,plawre1,245.0,250.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
168,44957_COR_20190923.ogg,bobfly1 plawre1,250.0,255.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
169,44957_COR_20190923.ogg,bobfly1,255.0,275.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
170,44957_COR_20190923.ogg,bobfly1 plawre1,275.0,280.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
171,44957_COR_20190923.ogg,bobfly1,280.0,320.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
172,44957_COR_20190923.ogg,nocall,320.0,380.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
173,44957_COR_20190923.ogg,bobfly1,380.0,400.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
174,44957_COR_20190923.ogg,nocall,400.0,405.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
175,44957_COR_20190923.ogg,bobfly1,405.0,435.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
176,44957_COR_20190923.ogg,nocall,435.0,445.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
177,44957_COR_20190923.ogg,bobfly1,445.0,455.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
178,44957_COR_20190923.ogg,nocall,455.0,460.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
179,44957_COR_20190923.ogg,bobfly1,460.0,500.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
180,44957_COR_20190923.ogg,nocall,500.0,570.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
181,44957_COR_20190923.ogg,brnjay,570.0,580.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
182,44957_COR_20190923.ogg,orcpar,580.0,585.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
183,44957_COR_20190923.ogg,bobfly1 orfpar,585.0,590.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
184,44957_COR_20190923.ogg,bobfly1,590.0,600.0,/app/_data/birdclef-2021/train_soundscapes/44957_COR_20190923.ogg,600.0
185,50878_COR_20191004.ogg,nocall,0.0,350.0,/app/_data/birdclef-2021/train_soundscapes/50878_COR_20191004.ogg,600.0
186,50878_COR_20191004.ogg,orcpar,350.0,365.0,/app/_data/birdclef-2021/train_soundscapes/50878_COR_20191004.ogg,600.0
187,50878_COR_20191004.ogg,nocall,365.0,500.0,/app/_data/birdclef-2021/train_soundscapes/50878_COR_20191004.ogg,600.0
188,50878_COR_20191004.ogg,bobfly1,500.0,505.0,/app/_data/birdclef-2021/train_soundscapes/50878_COR_20191004.ogg,600.0
189,50878_COR_20191004.ogg,nocall,505.0,585.0,/app/_data/birdclef-2021/train_soundscapes/50878_COR_20191004.ogg,600.0
190,50878_COR_20191004.ogg,bobfly1,585.0,590.0,/app/_data/birdclef-2021/train_soundscapes/50878_COR_20191004.ogg,600.0
191,50878_COR_20191004.ogg,nocall,590.0,600.0,/app/_data/birdclef-2021/train_soundscapes/50878_COR_20191004.ogg,600.0
192,57610_COR_20190904.ogg,nocall,0.0,15.0,/app/_data/birdclef-2021/train_soundscapes/57610_COR_20190904.ogg,600.0
193,57610_COR_20190904.ogg,rubwre1,15.0,25.0,/app/_data/birdclef-2021/train_soundscapes/57610_COR_20190904.ogg,600.0
194,57610_COR_20190904.ogg,nocall,25.0,35.0,/app/_data/birdclef-2021/train_soundscapes/57610_COR_20190904.ogg,600.0
195,57610_COR_20190904.ogg,rubwre1,35.0,45.0,/app/_data/birdclef-2021/train_soundscapes/57610_COR_20190904.ogg,600.0
196,57610_COR_20190904.ogg,nocall,45.0,55.0,/app/_data/birdclef-2021/train_soundscapes/57610_COR_20190904.ogg,600.0
197,57610_COR_20190904.ogg,rubwre1,55.0,65.0,/app/_data/birdclef-2021/train_soundscapes/57610_COR_20190904.ogg,600.0
198,57610_COR_20190904.ogg,nocall,65.0,85.0,/app/_data/birdclef-2021/train_soundscapes/57610_COR_20190904.ogg,600.0
