,filename,_primary_labels,_secondary_labels,_from_s,_to_s,_year,_month,latitude,longitude,rating,_source,row_id,site,birds
507,21767_COR_20190904.ogg,runwre1 yehcar1,,135,140,2019,9,10.12,-84.51,5.0,long,21767_COR_140,COR,runwre1
508,21767_COR_20190904.ogg,rucwar runwre1 yehcar1,,140,145,2019,9,10.12,-84.51,5.0,long,21767_COR_145,COR,yehcar1
535,21767_COR_20190904.ogg,crfpar rucwar,,275,280,2019,9,10.12,-84.51,5.0,long,21767_COR_280,COR,crfpar
573,21767_COR_20190904.ogg,hofwoo1 rucwar,,465,470,2019,9,10.12,-84.51,5.0,long,21767_COR_470,COR,hofwoo1
574,21767_COR_20190904.ogg,hofwoo1 rucwar,,470,475,2019,9,10.12,-84.51,5.0,long,21767_COR_475,COR,hofwoo1
575,21767_COR_20190904.ogg,nocall,,475,480,2019,9,10.12,-84.51,5.0,long,21767_COR_480,COR,hofwoo1
576,21767_COR_20190904.ogg,rucwar,,480,485,2019,9,10.12,-84.51,5.0,long,21767_COR_485,COR,nocall
578,21767_COR_20190904.ogg,rucwar whcpar,,490,495,2019,9,10.12,-84.51,5.0,long,21767_COR_495,COR,whcpar
582,21767_COR_20190904.ogg,hofwoo1 whcpar,,510,515,2019,9,10.12,-84.51,5.0,long,21767_COR_515,COR,whcpar
591,21767_COR_20190904.ogg,rucwar runwre1,,555,560,2019,9,10.12,-84.51,5.0,long,21767_COR_560,COR,runwre1
593,21767_COR_20190904.ogg,crfpar rucwar,,565,570,2019,9,10.12,-84.51,5.0,long,21767_COR_570,COR,crfpar
600,26746_COR_20191004.ogg,bobfly1,,0,5,2019,10,10.12,-84.51,5.0,long,26746_COR_5,COR,nocall
603,26746_COR_20191004.ogg,nocall,,15,20,2019,10,10.12,-84.51,5.0,long,26746_COR_20,COR,rucwar
610,26746_COR_20191004.ogg,bobfly1 rucwar,,50,55,2019,10,10.12,-84.51,5.0,long,26746_COR_55,COR,bobfly1
613,26746_COR_20191004.ogg,bobfly1 rucwar,,65,70,2019,10,10.12,-84.51,5.0,long,26746_COR_70,COR,bobfly1
626,26746_COR_20191004.ogg,bobfly1,,130,135,2019,10,10.12,-84.51,5.0,long,26746_COR_135,COR,rucwar
629,26746_COR_20191004.ogg,rucwar,,145,150,2019,10,10.12,-84.51,5.0,long,26746_COR_150,COR,bobfly1
670,26746_COR_20191004.ogg,nocall,,350,355,2019,10,10.12,-84.51,5.0,long,26746_COR_355,COR,bobfly1
886,44957_COR_20190923.ogg,bobfly1 plawre1,,230,235,2019,9,10.12,-84.51,5.0,long,44957_COR_235,COR,bobfly1
890,44957_COR_20190923.ogg,bobfly1 plawre1,,250,255,2019,9,10.12,-84.51,5.0,long,44957_COR_255,COR,bobfly1
895,44957_COR_20190923.ogg,bobfly1 plawre1,,275,280,2019,9,10.12,-84.51,5.0,long,44957_COR_280,COR,plawre1
957,44957_COR_20190923.ogg,bobfly1 orfpar,,585,590,2019,9,10.12,-84.51,5.0,long,44957_COR_590,COR,bobfly1
959,44957_COR_20190923.ogg,bobfly1,,595,600,2019,9,10.12,-84.51,5.0,long,44957_COR_600,COR,nocall
1099,57610_COR_20190904.ogg,bucmot2 rubwre1,,95,100,2019,9,10.12,-84.51,5.0,long,57610_COR_100,COR,bucmot2
1100,57610_COR_20190904.ogg,bucmot2 rubwre1,,100,105,2019,9,10.12,-84.51,5.0,long,57610_COR_105,COR,rubwre1
1101,57610_COR_20190904.ogg,bucmot2 rubwre1,,105,110,2019,9,10.12,-84.51,5.0,long,57610_COR_110,COR,rubwre1
1102,57610_COR_20190904.ogg,bucmot2 rubwre1,,110,115,2019,9,10.12,-84.51,5.0,long,57610_COR_115,COR,rubwre1
1148,57610_COR_20190904.ogg,bobfly1,,340,345,2019,9,10.12,-84.51,5.0,long,57610_COR_345,COR,nocall
1200,2782_SSW_20170701.ogg,bkcchi grycat reevir1,,0,5,2017,7,42.47,-76.45,5.0,long,2782_SSW_5,SSW,grycat reevir1
1201,2782_SSW_20170701.ogg,eawpew grycat reevir1,,5,10,2017,7,42.47,-76.45,5.0,long,2782_SSW_10,SSW,grycat reevir1
1202,2782_SSW_20170701.ogg,bkcchi eawpew grycat reevir1,,10,15,2017,7,42.47,-76.45,5.0,long,2782_SSW_15,SSW,bkcchi
1203,2782_SSW_20170701.ogg,eawpew grycat reevir1,,15,20,2017,7,42.47,-76.45,5.0,long,2782_SSW_20,SSW,eawpew reevir1
1204,2782_SSW_20170701.ogg,eawpew grycat reevir1,,20,25,2017,7,42.47,-76.45,5.0,long,2782_SSW_25,SSW,nocall
1206,2782_SSW_20170701.ogg,eawpew grycat reevir1,,30,35,2017,7,42.47,-76.45,5.0,long,2782_SSW_35,SSW,eawpew grycat
1207,2782_SSW_20170701.ogg,bkcchi eawpew grycat reevir1,,35,40,2017,7,42.47,-76.45,5.0,long,2782_SSW_40,SSW,nocall
1208,2782_SSW_20170701.ogg,eawpew reevir1,,40,45,2017,7,42.47,-76.45,5.0,long,2782_SSW_45,SSW,reevir1
1209,2782_SSW_20170701.ogg,bkcchi eawpew reevir1,,45,50,2017,7,42.47,-76.45,5.0,long,2782_SSW_50,SSW,bkcchi
1210,2782_SSW_20170701.ogg,bkcchi eawpew reevir1,,50,55,2017,7,42.47,-76.45,5.0,long,2782_SSW_55,SSW,nocall
1211,2782_SSW_20170701.ogg,bkcchi eawpew reevir1,,55,60,2017,7,42.47,-76.45,5.0,long,2782_SSW_60,SSW,nocall
1212,2782_SSW_20170701.ogg,bkcchi eawpew reevir1,,60,65,2017,7,42.47,-76.45,5.0,long,2782_SSW_65,SSW,bkcchi
1214,2782_SSW_20170701.ogg,bkcchi eawpew grycat reevir1,,70,75,2017,7,42.47,-76.45,5.0,long,2782_SSW_75,SSW,nocall
1215,2782_SSW_20170701.ogg,eawpew grycat reevir1,,75,80,2017,7,42.47,-76.45,5.0,long,2782_SSW_80,SSW,grycat
1217,2782_SSW_20170701.ogg,eawpew grycat reevir1,,85,90,2017,7,42.47,-76.45,5.0,long,2782_SSW_90,SSW,grycat reevir1
1218,2782_SSW_20170701.ogg,eawpew grycat reevir1,,90,95,2017,7,42.47,-76.45,5.0,long,2782_SSW_95,SSW,grycat
1220,2782_SSW_20170701.ogg,eawpew reevir1,,100,105,2017,7,42.47,-76.45,5.0,long,2782_SSW_105,SSW,reevir1
1221,2782_SSW_20170701.ogg,bkcchi eawpew reevir1,,105,110,2017,7,42.47,-76.45,5.0,long,2782_SSW_110,SSW,eawpew
1224,2782_SSW_20170701.ogg,bkcchi eawpew reevir1,,120,125,2017,7,42.47,-76.45,5.0,long,2782_SSW_125,SSW,eawpew
1225,2782_SSW_20170701.ogg,grycat reevir1,,125,130,2017,7,42.47,-76.45,5.0,long,2782_SSW_130,SSW,reevir1
1226,2782_SSW_20170701.ogg,eawpew grycat reevir1,,130,135,2017,7,42.47,-76.45,5.0,long,2782_SSW_135,SSW,eawpew grycat
1227,2782_SSW_20170701.ogg,eawpew grycat reevir1,,135,140,2017,7,42.47,-76.45,5.0,long,2782_SSW_140,SSW,grycat
1228,2782_SSW_20170701.ogg,eawpew reevir1,,140,145,2017,7,42.47,-76.45,5.0,long,2782_SSW_145,SSW,reevir1
1230,2782_SSW_20170701.ogg,eawpew reevir1,,150,155,2017,7,42.47,-76.45,5.0,long,2782_SSW_155,SSW,eawpew
1233,2782_SSW_20170701.ogg,eawpew reevir1,,165,170,2017,7,42.47,-76.45,5.0,long,2782_SSW_170,SSW,eawpew
1234,2782_SSW_20170701.ogg,eawpew reevir1,,170,175,2017,7,42.47,-76.45,5.0,long,2782_SSW_175,SSW,reevir1
1236,2782_SSW_20170701.ogg,eawpew grycat reevir1,,180,185,2017,7,42.47,-76.45,5.0,long,2782_SSW_185,SSW,eawpew grycat
1237,2782_SSW_20170701.ogg,eawpew grycat reevir1,,185,190,2017,7,42.47,-76.45,5.0,long,2782_SSW_190,SSW,reevir1
1238,2782_SSW_20170701.ogg,grycat reevir1,,190,195,2017,7,42.47,-76.45,5.0,long,2782_SSW_195,SSW,reevir1
1239,2782_SSW_20170701.ogg,eawpew grycat reevir1,,195,200,2017,7,42.47,-76.45,5.0,long,2782_SSW_200,SSW,reevir1
1241,2782_SSW_20170701.ogg,eawpew grycat reevir1,,205,210,2017,7,42.47,-76.45,5.0,long,2782_SSW_210,SSW,eawpew grycat
1242,2782_SSW_20170701.ogg,grycat reevir1,,210,215,2017,7,42.47,-76.45,5.0,long,2782_SSW_215,SSW,reevir1
1243,2782_SSW_20170701.ogg,eawpew grycat reevir1,,215,220,2017,7,42.47,-76.45,5.0,long,2782_SSW_220,SSW,grycat
1244,2782_SSW_20170701.ogg,eawpew grycat reevir1,,220,225,2017,7,42.47,-76.45,5.0,long,2782_SSW_225,SSW,grycat
1245,2782_SSW_20170701.ogg,chswar eawpew grycat reevir1,,225,230,2017,7,42.47,-76.45,5.0,long,2782_SSW_230,SSW,nocall
1246,2782_SSW_20170701.ogg,grycat reevir1,,230,235,2017,7,42.47,-76.45,5.0,long,2782_SSW_235,SSW,reevir1
1247,2782_SSW_20170701.ogg,chswar eawpew reevir1,,235,240,2017,7,42.47,-76.45,5.0,long,2782_SSW_240,SSW,chswar
1248,2782_SSW_20170701.ogg,grycat reevir1,,240,245,2017,7,42.47,-76.45,5.0,long,2782_SSW_245,SSW,grycat
1249,2782_SSW_20170701.ogg,eawpew grycat reevir1,,245,250,2017,7,42.47,-76.45,5.0,long,2782_SSW_250,SSW,grycat
1250,2782_SSW_20170701.ogg,grycat reevir1,,250,255,2017,7,42.47,-76.45,5.0,long,2782_SSW_255,SSW,reevir1
1252,2782_SSW_20170701.ogg,eawpew reevir1,,260,265,2017,7,42.47,-76.45,5.0,long,2782_SSW_265,SSW,eawpew
1253,2782_SSW_20170701.ogg,eawpew reevir1,,265,270,2017,7,42.47,-76.45,5.0,long,2782_SSW_270,SSW,eawpew
1254,2782_SSW_20170701.ogg,bkcchi grycat reevir1,,270,275,2017,7,42.47,-76.45,5.0,long,2782_SSW_275,SSW,grycat reevir1
1255,2782_SSW_20170701.ogg,eawpew reevir1,,275,280,2017,7,42.47,-76.45,5.0,long,2782_SSW_280,SSW,eawpew
1259,2782_SSW_20170701.ogg,eawpew reevir1,,295,300,2017,7,42.47,-76.45,5.0,long,2782_SSW_300,SSW,reevir1
1262,2782_SSW_20170701.ogg,eawpew reevir1,,310,315,2017,7,42.47,-76.45,5.0,long,2782_SSW_315,SSW,reevir1
1266,2782_SSW_20170701.ogg,eawpew reevir1,,330,335,2017,7,42.47,-76.45,5.0,long,2782_SSW_335,SSW,eawpew
1272,2782_SSW_20170701.ogg,eawpew reevir1,,360,365,2017,7,42.47,-76.45,5.0,long,2782_SSW_365,SSW,reevir1
1276,2782_SSW_20170701.ogg,eawpew reevir1,,380,385,2017,7,42.47,-76.45,5.0,long,2782_SSW_385,SSW,reevir1
1277,2782_SSW_20170701.ogg,bkcchi reevir1,,385,390,2017,7,42.47,-76.45,5.0,long,2782_SSW_390,SSW,reevir1
1288,2782_SSW_20170701.ogg,bkcchi eawpew reevir1,,440,445,2017,7,42.47,-76.45,5.0,long,2782_SSW_445,SSW,nocall
1290,2782_SSW_20170701.ogg,eawpew reevir1,,450,455,2017,7,42.47,-76.45,5.0,long,2782_SSW_455,SSW,reevir1
1291,2782_SSW_20170701.ogg,bkcchi reevir1,,455,460,2017,7,42.47,-76.45,5.0,long,2782_SSW_460,SSW,reevir1
1293,2782_SSW_20170701.ogg,bkcchi eawpew reevir1,,465,470,2017,7,42.47,-76.45,5.0,long,2782_SSW_470,SSW,eawpew
1294,2782_SSW_20170701.ogg,bkcchi reevir1,,470,475,2017,7,42.47,-76.45,5.0,long,2782_SSW_475,SSW,bkcchi
1295,2782_SSW_20170701.ogg,bkcchi eawpew reevir1,,475,480,2017,7,42.47,-76.45,5.0,long,2782_SSW_480,SSW,bkcchi
1296,2782_SSW_20170701.ogg,bkcchi eawpew reevir1,,480,485,2017,7,42.47,-76.45,5.0,long,2782_SSW_485,SSW,bkcchi
1297,2782_SSW_20170701.ogg,bkcchi eawpew reevir1,,485,490,2017,7,42.47,-76.45,5.0,long,2782_SSW_490,SSW,nocall
1298,2782_SSW_20170701.ogg,bkcchi eawpew reevir1,,490,495,2017,7,42.47,-76.45,5.0,long,2782_SSW_495,SSW,bkcchi
1299,2782_SSW_20170701.ogg,bkcchi eawpew reevir1,,495,500,2017,7,42.47,-76.45,5.0,long,2782_SSW_500,SSW,bkcchi
1300,2782_SSW_20170701.ogg,bkcchi eawpew reevir1,,500,505,2017,7,42.47,-76.45,5.0,long,2782_SSW_505,SSW,bkcchi reevir1
1301,2782_SSW_20170701.ogg,bkcchi eawpew reevir1,,505,510,2017,7,42.47,-76.45,5.0,long,2782_SSW_510,SSW,bkcchi reevir1
1304,2782_SSW_20170701.ogg,bkcchi eawpew reevir1,,520,525,2017,7,42.47,-76.45,5.0,long,2782_SSW_525,SSW,bkcchi reevir1
1306,2782_SSW_20170701.ogg,bkcchi eawpew reevir1,,530,535,2017,7,42.47,-76.45,5.0,long,2782_SSW_535,SSW,bkcchi
1307,2782_SSW_20170701.ogg,bkcchi eawpew reevir1,,535,540,2017,7,42.47,-76.45,5.0,long,2782_SSW_540,SSW,nocall
1309,2782_SSW_20170701.ogg,bkcchi eawpew reevir1,,545,550,2017,7,42.47,-76.45,5.0,long,2782_SSW_550,SSW,eawpew reevir1
1314,2782_SSW_20170701.ogg,eawpew reevir1,,570,575,2017,7,42.47,-76.45,5.0,long,2782_SSW_575,SSW,eawpew
1315,2782_SSW_20170701.ogg,eawpew reevir1,,575,580,2017,7,42.47,-76.45,5.0,long,2782_SSW_580,SSW,reevir1
1317,2782_SSW_20170701.ogg,bkcchi reevir1,,585,590,2017,7,42.47,-76.45,5.0,long,2782_SSW_590,SSW,reevir1
1318,2782_SSW_20170701.ogg,bkcchi eawpew reevir1,,590,595,2017,7,42.47,-76.45,5.0,long,2782_SSW_595,SSW,reevir1
1319,2782_SSW_20170701.ogg,eawpew reevir1,,595,600,2017,7,42.47,-76.45,5.0,long,2782_SSW_600,SSW,eawpew
1449,10534_SSW_20170429.ogg,blujay,,45,50,2017,4,42.47,-76.45,5.0,long,10534_SSW_50,SSW,nocall
1472,10534_SSW_20170429.ogg,bkcchi,,160,165,2017,4,42.47,-76.45,5.0,long,10534_SSW_165,SSW,nocall
1485,10534_SSW_20170429.ogg,rewbla,,225,230,2017,4,42.47,-76.45,5.0,long,10534_SSW_230,SSW,blujay
1496,10534_SSW_20170429.ogg,belkin1 rewbla,,280,285,2017,4,42.47,-76.45,5.0,long,10534_SSW_285,SSW,rewbla
1509,10534_SSW_20170429.ogg,rewbla,,345,350,2017,4,42.47,-76.45,5.0,long,10534_SSW_350,SSW,nocall
1530,10534_SSW_20170429.ogg,rewbla,,450,455,2017,4,42.47,-76.45,5.0,long,10534_SSW_455,SSW,nocall
1544,10534_SSW_20170429.ogg,comgra rewbla,,520,525,2017,4,42.47,-76.45,5.0,long,10534_SSW_525,SSW,rewbla
1559,10534_SSW_20170429.ogg,comgra rewbla,,595,600,2017,4,42.47,-76.45,5.0,long,10534_SSW_600,SSW,comgra
1817,26709_SSW_20170701.ogg,comyel,,85,90,2017,7,42.47,-76.45,5.0,long,26709_SSW_90,SSW,nocall
1820,26709_SSW_20170701.ogg,comyel,,100,105,2017,7,42.47,-76.45,5.0,long,26709_SSW_105,SSW,nocall
1824,26709_SSW_20170701.ogg,nocall,,120,125,2017,7,42.47,-76.45,5.0,long,26709_SSW_125,SSW,comyel
1852,26709_SSW_20170701.ogg,eastow sonspa,,260,265,2017,7,42.47,-76.45,5.0,long,26709_SSW_265,SSW,sonspa
1853,26709_SSW_20170701.ogg,comyel sonspa,,265,270,2017,7,42.47,-76.45,5.0,long,26709_SSW_270,SSW,comyel
1858,26709_SSW_20170701.ogg,eastow sonspa,,290,295,2017,7,42.47,-76.45,5.0,long,26709_SSW_295,SSW,sonspa
1860,26709_SSW_20170701.ogg,comyel sonspa,,300,305,2017,7,42.47,-76.45,5.0,long,26709_SSW_305,SSW,comyel
1863,26709_SSW_20170701.ogg,nocall,,315,320,2017,7,42.47,-76.45,5.0,long,26709_SSW_320,SSW,eastow
1865,26709_SSW_20170701.ogg,nocall,,325,330,2017,7,42.47,-76.45,5.0,long,26709_SSW_330,SSW,eastow
1867,26709_SSW_20170701.ogg,nocall,,335,340,2017,7,42.47,-76.45,5.0,long,26709_SSW_340,SSW,eastow
1869,26709_SSW_20170701.ogg,eastow sonspa,,345,350,2017,7,42.47,-76.45,5.0,long,26709_SSW_350,SSW,sonspa
1873,26709_SSW_20170701.ogg,comyel sonspa,,365,370,2017,7,42.47,-76.45,5.0,long,26709_SSW_370,SSW,comyel
1874,26709_SSW_20170701.ogg,eastow sonspa,,370,375,2017,7,42.47,-76.45,5.0,long,26709_SSW_375,SSW,eastow
1880,26709_SSW_20170701.ogg,comyel sonspa,,400,405,2017,7,42.47,-76.45,5.0,long,26709_SSW_405,SSW,comyel
1881,26709_SSW_20170701.ogg,eastow sonspa,,405,410,2017,7,42.47,-76.45,5.0,long,26709_SSW_410,SSW,eastow
1882,26709_SSW_20170701.ogg,comyel,,410,415,2017,7,42.47,-76.45,5.0,long,26709_SSW_415,SSW,nocall
1891,26709_SSW_20170701.ogg,comyel,,455,460,2017,7,42.47,-76.45,5.0,long,26709_SSW_460,SSW,nocall
1898,26709_SSW_20170701.ogg,eastow sonspa,,490,495,2017,7,42.47,-76.45,5.0,long,26709_SSW_495,SSW,eastow
1899,26709_SSW_20170701.ogg,comyel eastow,,495,500,2017,7,42.47,-76.45,5.0,long,26709_SSW_500,SSW,comyel
1900,26709_SSW_20170701.ogg,eastow,,500,505,2017,7,42.47,-76.45,5.0,long,26709_SSW_505,SSW,eastow sonspa
1905,26709_SSW_20170701.ogg,eastow sonspa,,525,530,2017,7,42.47,-76.45,5.0,long,26709_SSW_530,SSW,eastow
1910,26709_SSW_20170701.ogg,comyel,,550,555,2017,7,42.47,-76.45,5.0,long,26709_SSW_555,SSW,nocall
1916,26709_SSW_20170701.ogg,comyel,,580,585,2017,7,42.47,-76.45,5.0,long,26709_SSW_585,SSW,nocall
1939,28933_SSW_20170408.ogg,rewbla sonspa,,95,100,2017,4,42.47,-76.45,5.0,long,28933_SSW_100,SSW,sonspa
1946,28933_SSW_20170408.ogg,sonspa,,130,135,2017,4,42.47,-76.45,5.0,long,28933_SSW_135,SSW,nocall
1948,28933_SSW_20170408.ogg,norcar sonspa,,140,145,2017,4,42.47,-76.45,5.0,long,28933_SSW_145,SSW,norcar
1949,28933_SSW_20170408.ogg,norcar sonspa,,145,150,2017,4,42.47,-76.45,5.0,long,28933_SSW_150,SSW,norcar
1950,28933_SSW_20170408.ogg,gockin norcar sonspa,,150,155,2017,4,42.47,-76.45,5.0,long,28933_SSW_155,SSW,sonspa
1951,28933_SSW_20170408.ogg,norcar sonspa,,155,160,2017,4,42.47,-76.45,5.0,long,28933_SSW_160,SSW,norcar
1956,28933_SSW_20170408.ogg,sonspa,,180,185,2017,4,42.47,-76.45,5.0,long,28933_SSW_185,SSW,nocall
1958,28933_SSW_20170408.ogg,sonspa,,190,195,2017,4,42.47,-76.45,5.0,long,28933_SSW_195,SSW,nocall
1962,28933_SSW_20170408.ogg,norcar sonspa,,210,215,2017,4,42.47,-76.45,5.0,long,28933_SSW_215,SSW,norcar
1964,28933_SSW_20170408.ogg,norcar rewbla sonspa,,220,225,2017,4,42.47,-76.45,5.0,long,28933_SSW_225,SSW,norcar
1965,28933_SSW_20170408.ogg,norcar,,225,230,2017,4,42.47,-76.45,5.0,long,28933_SSW_230,SSW,nocall
1966,28933_SSW_20170408.ogg,norcar rewbla,,230,235,2017,4,42.47,-76.45,5.0,long,28933_SSW_235,SSW,rewbla
1969,28933_SSW_20170408.ogg,amegfi gockin,,245,250,2017,4,42.47,-76.45,5.0,long,28933_SSW_250,SSW,gockin
1973,28933_SSW_20170408.ogg,cangoo sonspa,,265,270,2017,4,42.47,-76.45,5.0,long,28933_SSW_270,SSW,cangoo
1974,28933_SSW_20170408.ogg,cangoo gockin norcar rewbla sonspa,,270,275,2017,4,42.47,-76.45,5.0,long,28933_SSW_275,SSW,nocall
1975,28933_SSW_20170408.ogg,cangoo norcar,,275,280,2017,4,42.47,-76.45,5.0,long,28933_SSW_280,SSW,cangoo
1976,28933_SSW_20170408.ogg,cangoo norcar,,280,285,2017,4,42.47,-76.45,5.0,long,28933_SSW_285,SSW,cangoo
1977,28933_SSW_20170408.ogg,cangoo norcar sonspa,,285,290,2017,4,42.47,-76.45,5.0,long,28933_SSW_290,SSW,nocall
1978,28933_SSW_20170408.ogg,cangoo gockin rewbla,,290,295,2017,4,42.47,-76.45,5.0,long,28933_SSW_295,SSW,cangoo gockin
1980,28933_SSW_20170408.ogg,cangoo gockin sonspa,,300,305,2017,4,42.47,-76.45,5.0,long,28933_SSW_305,SSW,cangoo
1981,28933_SSW_20170408.ogg,gockin rewbla sonspa,,305,310,2017,4,42.47,-76.45,5.0,long,28933_SSW_310,SSW,rewbla
1982,28933_SSW_20170408.ogg,gockin rewbla,,310,315,2017,4,42.47,-76.45,5.0,long,28933_SSW_315,SSW,gockin
1983,28933_SSW_20170408.ogg,rewbla,,315,320,2017,4,42.47,-76.45,5.0,long,28933_SSW_320,SSW,nocall
1988,28933_SSW_20170408.ogg,cangoo,,340,345,2017,4,42.47,-76.45,5.0,long,28933_SSW_345,SSW,nocall
1990,28933_SSW_20170408.ogg,amecro cangoo gockin,,350,355,2017,4,42.47,-76.45,5.0,long,28933_SSW_355,SSW,gockin
1991,28933_SSW_20170408.ogg,cangoo sonspa,,355,360,2017,4,42.47,-76.45,5.0,long,28933_SSW_360,SSW,nocall
1992,28933_SSW_20170408.ogg,cangoo sonspa,,360,365,2017,4,42.47,-76.45,5.0,long,28933_SSW_365,SSW,cangoo
1993,28933_SSW_20170408.ogg,rewbla sonspa,,365,370,2017,4,42.47,-76.45,5.0,long,28933_SSW_370,SSW,sonspa
1994,28933_SSW_20170408.ogg,rewbla sonspa,,370,375,2017,4,42.47,-76.45,5.0,long,28933_SSW_375,SSW,rewbla
1995,28933_SSW_20170408.ogg,gockin rewbla sonspa,,375,380,2017,4,42.47,-76.45,5.0,long,28933_SSW_380,SSW,nocall
1996,28933_SSW_20170408.ogg,gockin rewbla sonspa,,380,385,2017,4,42.47,-76.45,5.0,long,28933_SSW_385,SSW,gockin
1997,28933_SSW_20170408.ogg,gockin rewbla sonspa,,385,390,2017,4,42.47,-76.45,5.0,long,28933_SSW_390,SSW,nocall
1999,28933_SSW_20170408.ogg,amerob gockin,,395,400,2017,4,42.47,-76.45,5.0,long,28933_SSW_400,SSW,nocall
2000,28933_SSW_20170408.ogg,amerob gockin rewbla sonspa,,400,405,2017,4,42.47,-76.45,5.0,long,28933_SSW_405,SSW,nocall
2001,28933_SSW_20170408.ogg,amerob gockin sonspa,,405,410,2017,4,42.47,-76.45,5.0,long,28933_SSW_410,SSW,gockin
2002,28933_SSW_20170408.ogg,gockin sonspa,,410,415,2017,4,42.47,-76.45,5.0,long,28933_SSW_415,SSW,sonspa
2003,28933_SSW_20170408.ogg,rewbla sonspa,,415,420,2017,4,42.47,-76.45,5.0,long,28933_SSW_420,SSW,rewbla
2004,28933_SSW_20170408.ogg,sonspa,,420,425,2017,4,42.47,-76.45,5.0,long,28933_SSW_425,SSW,nocall
2008,28933_SSW_20170408.ogg,amerob gockin,,440,445,2017,4,42.47,-76.45,5.0,long,28933_SSW_445,SSW,gockin
2010,28933_SSW_20170408.ogg,amerob,,450,455,2017,4,42.47,-76.45,5.0,long,28933_SSW_455,SSW,nocall
2012,28933_SSW_20170408.ogg,amerob,,460,465,2017,4,42.47,-76.45,5.0,long,28933_SSW_465,SSW,nocall
2013,28933_SSW_20170408.ogg,amerob,,465,470,2017,4,42.47,-76.45,5.0,long,28933_SSW_470,SSW,nocall
2017,28933_SSW_20170408.ogg,rewbla swaspa,,485,490,2017,4,42.47,-76.45,5.0,long,28933_SSW_490,SSW,rewbla
2023,28933_SSW_20170408.ogg,rewbla swaspa,,515,520,2017,4,42.47,-76.45,5.0,long,28933_SSW_520,SSW,nocall
2028,28933_SSW_20170408.ogg,blujay rewbla swaspa,,540,545,2017,4,42.47,-76.45,5.0,long,28933_SSW_545,SSW,nocall
2030,28933_SSW_20170408.ogg,blujay swaspa,,550,555,2017,4,42.47,-76.45,5.0,long,28933_SSW_555,SSW,blujay
2032,28933_SSW_20170408.ogg,rewbla,,560,565,2017,4,42.47,-76.45,5.0,long,28933_SSW_565,SSW,nocall
2035,28933_SSW_20170408.ogg,rewbla,,575,580,2017,4,42.47,-76.45,5.0,long,28933_SSW_580,SSW,nocall
2036,28933_SSW_20170408.ogg,nocall,,580,585,2017,4,42.47,-76.45,5.0,long,28933_SSW_585,SSW,blujay
2075,42907_SSW_20170708.ogg,nocall,,175,180,2017,7,42.47,-76.45,5.0,long,42907_SSW_180,SSW,reevir1
2161,51010_SSW_20170513.ogg,grycat norfli,,5,10,2017,5,42.47,-76.45,5.0,long,51010_SSW_10,SSW,norfli
2166,51010_SSW_20170513.ogg,rewbla,,30,35,2017,5,42.47,-76.45,5.0,long,51010_SSW_35,SSW,nocall
2169,51010_SSW_20170513.ogg,norfli,,45,50,2017,5,42.47,-76.45,5.0,long,51010_SSW_50,SSW,nocall
2180,51010_SSW_20170513.ogg,rewbla,,100,105,2017,5,42.47,-76.45,5.0,long,51010_SSW_105,SSW,nocall
2183,51010_SSW_20170513.ogg,balori norcar,,115,120,2017,5,42.47,-76.45,5.0,long,51010_SSW_120,SSW,balori
